price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,make,normalized-losses,symboling
13495,27,21,5000,111,9.0,2.68,3.47,,130,4,,2548,48.8,64.1,168.8,88.6,,,,2,,,,115,3
16500,27,21,5000,111,9.0,2.68,3.47,,130,4,,2548,48.8,64.1,168.8,88.6,,,,2,,,,115,3
16500,26,19,5000,154,9.0,3.47,2.68,,152,6,,2823,52.4,65.5,171.2,94.5,,,,2,,,,115,1
13950,30,24,5500,102,10.0,3.4,3.19,,109,4,,2337,54.3,66.2,176.6,99.8,,,,4,,,,164,2
17450,22,18,5500,115,8.0,3.4,3.19,,136,5,,2824,54.3,66.4,176.6,99.4,,,,4,,,,164,2
15250,25,19,5500,110,8.5,3.4,3.19,,136,5,,2507,53.1,66.3,177.3,99.8,,,,2,,,,115,2
17710,25,19,5500,110,8.5,3.4,3.19,,136,5,,2844,55.7,71.4,192.7,105.8,,,,4,,,,158,1
18920,25,19,5500,110,8.5,3.4,3.19,,136,5,,2954,55.7,71.4,192.7,105.8,,,,4,,,,115,1
23875,20,17,5500,140,8.3,3.4,3.13,,131,5,,3086,55.9,71.4,192.7,105.8,,,,4,,,,158,1
10295,22,16,5500,160,7.0,3.4,3.13,,131,5,,3053,52.0,67.9,178.2,99.5,,,,2,,,,115,0
16430,29,23,5800,101,8.8,2.8,3.5,,108,4,,2395,54.3,64.8,176.8,101.2,,,,2,,,,192,2
16925,29,23,5800,101,8.8,2.8,3.5,,108,4,,2395,54.3,64.8,176.8,101.2,,,,4,,,,192,0
20970,28,21,4250,121,9.0,3.19,3.31,,164,6,,2710,54.3,64.8,176.8,101.2,,,,2,,,,188,0
21105,28,21,4250,121,9.0,3.19,3.31,,164,6,,2765,54.3,64.8,176.8,101.2,,,,4,,,,188,0
24565,25,20,4250,121,9.0,3.19,3.31,,164,6,,3055,55.7,66.9,189.0,103.5,,,,4,,,,115,1
30760,22,16,5400,182,8.0,3.39,3.62,,209,6,,3230,55.7,66.9,189.0,103.5,,,,4,,,,115,0
41315,22,16,5400,182,8.0,3.39,3.62,,209,6,,3380,53.7,67.9,193.8,103.5,,,,2,,,,115,0
36880,20,15,5400,182,8.0,3.39,3.62,,209,6,,3505,56.3,70.9,197.0,110.0,,,,4,,,,115,0
5151,53,47,5100,48,9.5,3.03,2.91,,61,3,,1488,53.2,60.3,141.1,88.4,,,,2,,,,121,2
6295,43,38,5400,70,9.6,3.11,3.03,,90,4,,1874,52.0,63.6,155.9,94.5,,,,2,,,,98,1
6575,43,38,5400,70,9.6,3.11,3.03,,90,4,,1909,52.0,63.6,158.8,94.5,,,,4,,,,81,0
5572,41,37,5500,68,9.41,3.23,2.97,,90,4,,1876,50.8,63.8,157.3,93.7,,,,2,,,,118,1
6377,38,31,5500,68,9.4,3.23,2.97,,90,4,,1876,50.8,63.8,157.3,93.7,,,,2,,,,118,1
7957,30,24,5500,102,7.6,3.39,3.03,,98,4,,2128,50.8,63.8,157.3,93.7,,,,2,,,,118,1
6229,38,31,5500,68,9.4,3.23,2.97,,90,4,,1967,50.6,63.8,157.3,93.7,,,,4,,,,148,1
6692,38,31,5500,68,9.4,3.23,2.97,,90,4,,1989,50.6,63.8,157.3,93.7,,,,4,,,,148,1
7609,38,31,5500,68,9.4,3.23,2.97,,90,4,,1989,50.6,63.8,157.3,93.7,,,,4,,,,148,1
8558,30,24,5500,102,7.6,3.39,3.03,,98,4,,2191,50.6,63.8,157.3,93.7,,,,4,,,,148,1
8921,30,24,5000,88,8.5,3.46,3.34,,122,4,,2535,59.8,64.6,174.6,103.3,,,,4,,,,110,-1
12964,24,19,5000,145,7.0,3.9,3.6,,156,4,,2811,50.2,66.3,173.2,95.9,,,,2,,,,145,3
6479,54,49,4800,58,9.6,3.41,2.91,,92,4,,1713,50.8,63.9,144.6,86.6,,,,2,,,,137,2
6855,38,31,6000,76,9.2,3.41,2.91,,92,4,,1819,50.8,63.9,144.6,86.6,,,,2,,,,137,2
5399,42,38,5500,60,10.1,3.07,2.91,,79,4,,1837,52.6,64.0,150.0,93.7,,,,2,,,,101,1
6529,34,30,6000,76,9.2,3.41,2.91,,92,4,,1940,52.6,64.0,150.0,93.7,,,,2,,,,101,1
7129,34,30,6000,76,9.2,3.41,2.91,,92,4,,1956,52.6,64.0,150.0,93.7,,,,2,,,,101,1
7295,34,30,6000,76,9.2,3.41,2.91,,92,4,,2010,54.5,64.0,163.4,96.5,,,,4,,,,110,0
7295,34,30,6000,76,9.2,3.41,2.92,,92,4,,2024,58.3,63.9,157.1,96.5,,,,4,,,,78,0
7895,33,27,5800,86,9.0,3.58,3.15,,110,4,,2236,53.3,65.2,167.5,96.5,,,,2,,,,106,0
9095,33,27,5800,86,9.0,3.58,3.15,,110,4,,2289,53.3,65.2,167.5,96.5,,,,2,,,,106,0
8845,33,27,5800,86,9.0,3.58,3.15,,110,4,,2304,54.1,65.2,175.4,96.5,,,,4,,,,85,0
10295,33,27,5800,86,9.0,3.58,3.15,,110,4,,2372,54.1,62.5,175.4,96.5,,,,4,,,,85,0
12945,28,24,5800,101,9.0,3.58,3.15,,110,4,,2465,54.1,65.2,175.4,96.5,,,,4,,,,85,0
10345,31,25,5500,100,9.1,3.58,3.15,,110,4,,2293,51.0,66.0,169.1,96.5,,,,2,,,,107,1
6785,29,24,4800,78,8.5,3.23,3.31,,111,4,,2337,53.5,61.8,170.7,94.3,,,,4,,,,115,0
10295,43,38,5400,70,9.6,3.11,3.03,,90,4,,1874,52.0,63.6,155.9,94.5,,,,2,,,,115,1
10295,43,38,5400,70,9.6,3.11,3.03,,90,4,,1909,52.0,63.6,155.9,94.5,,,,4,,,,115,0
11048,29,24,5000,90,9.2,3.23,3.43,,119,4,,2734,51.4,65.2,172.6,96.0,,,,2,,,,115,2
32250,19,15,4750,176,8.1,4.17,3.63,,258,6,,4066,52.8,69.6,199.6,113.0,,,,4,,,,145,0
35550,19,15,4750,176,8.1,4.17,3.63,,258,6,,4066,52.8,69.6,199.6,113.0,,,,4,,,,115,0
36000,17,13,5000,262,11.5,2.76,3.54,,326,12,,3950,47.8,70.6,191.7,102.0,,,,2,,,,115,0
5195,31,30,5000,68,9.0,3.15,3.03,,91,4,,1890,54.1,64.2,159.1,93.1,,,,2,,,,104,1
6095,38,31,5000,68,9.0,3.15,3.03,,91,4,,1900,54.1,64.2,159.1,93.1,,,,2,,,,104,1
6795,38,31,5000,68,9.0,3.15,3.03,,91,4,,1905,54.1,64.2,159.1,93.1,,,,2,,,,104,1
6695,38,31,5000,68,9.0,3.15,3.03,,91,4,,1945,54.1,64.2,166.8,93.1,,,,4,,,,113,1
7395,38,31,5000,68,9.0,3.15,3.08,,91,4,,1950,54.1,64.2,166.8,93.1,,,,4,,,,113,1
10945,23,17,6000,101,9.4,3.29,3.31,,70,2,,2380,49.6,65.7,169.0,95.3,,,,2,,,,150,3
11845,23,17,6000,101,9.4,3.29,3.31,,70,2,,2380,49.6,65.7,169.0,95.3,,,,2,,,,150,3
13645,23,17,6000,101,9.4,3.29,3.31,,70,2,,2385,49.6,65.7,169.0,95.3,,,,2,,,,150,3
15645,23,16,6000,135,9.4,3.29,3.31,,80,2,,2500,49.6,65.7,169.0,95.3,,,,2,,,,150,3
8845,32,26,4800,84,8.6,3.39,3.39,,122,4,,2385,53.7,66.5,177.8,98.8,,,,2,,,,129,1
8495,32,26,4800,84,8.6,3.39,3.39,,122,4,,2410,55.5,66.5,177.8,98.8,,,,4,,,,115,0
10595,32,26,4800,84,8.6,3.39,3.39,,122,4,,2385,53.7,66.5,177.8,98.8,,,,2,,,,129,1
10245,32,26,4800,84,8.6,3.39,3.39,,122,4,,2410,55.5,66.5,177.8,98.8,,,,4,,,,115,0
10795,42,36,4650,64,22.7,3.39,3.39,,122,4,,2443,55.5,66.5,177.8,98.8,,,,4,,,,115,0
11245,32,26,4800,84,8.6,3.39,3.39,,122,4,,2425,55.5,66.5,177.8,98.8,,,,4,,,,115,0
18280,27,19,5000,120,8.0,3.16,3.76,,140,4,,2670,54.4,66.1,175.0,104.9,,,,4,,,,118,0
18344,39,31,4200,72,22.0,3.64,3.43,,134,4,,2700,54.4,66.1,175.0,104.9,,,,4,,,,115,0
25552,25,22,4350,123,21.5,3.64,3.58,,183,5,,3515,56.5,70.3,190.9,110.0,,,,4,,,,93,-1
28248,25,22,4350,123,21.5,3.64,3.58,,183,5,,3750,58.7,70.3,190.9,110.0,,,,4,,,,93,-1
28176,25,22,4350,123,21.5,3.64,3.58,,183,5,,3495,54.9,70.3,187.5,106.7,,,,2,,,,93,0
31600,25,22,4350,123,21.5,3.64,3.58,,183,5,,3770,56.3,71.7,202.6,115.6,,,,4,,,,93,-1
34184,18,16,4750,155,8.3,3.1,3.46,,234,8,,3740,56.5,71.7,202.6,115.6,,,,4,,,,115,-1
35056,18,16,4750,155,8.3,3.1,3.46,,234,8,,3685,50.8,70.5,180.3,96.6,,,,2,,,,142,3
40960,16,14,4500,184,8.0,3.35,3.8,,308,8,,3900,56.7,71.7,208.1,120.9,,,,4,,,,115,0
45400,16,14,4500,184,8.0,3.35,3.8,,304,8,,3715,55.4,72.0,199.2,112.0,,,,2,,,,115,1
16503,24,19,5000,175,8.0,3.12,3.78,,140,4,,2910,54.8,68.0,178.4,102.7,,,,2,,,,115,1
5389,41,37,5500,68,9.4,3.23,2.97,,92,4,,1918,50.8,64.4,157.3,93.7,,,,2,,,,161,2
6189,38,31,5500,68,9.4,3.23,2.97,,92,4,,1944,50.8,64.4,157.3,93.7,,,,2,,,,161,2
6669,38,31,5500,68,9.4,3.23,2.97,,92,4,,2004,50.8,64.4,157.3,93.7,,,,2,,,,161,2
7689,30,24,5500,102,7.6,3.39,3.03,,98,4,,2145,50.8,63.8,157.3,93.0,,,,2,,,,161,1
9959,30,23,5500,116,7.5,3.46,3.17,,110,4,,2370,49.4,65.4,173.0,96.3,,,,2,,,,153,3
8499,32,25,5000,88,8.5,3.46,3.35,,122,4,,2328,49.4,65.4,173.0,96.3,,,,2,,,,153,3
12629,24,19,5000,145,7.0,3.86,3.58,,156,4,,2833,50.2,66.3,173.2,95.9,,,,2,,,,115,3
14869,24,19,5000,145,7.0,3.86,3.59,,156,4,,2921,50.2,66.3,173.2,95.9,,,,2,,,,115,3
14489,24,19,5000,145,7.0,3.86,3.59,,156,4,,2926,50.2,66.3,173.2,95.9,,,,2,,,,115,3
6989,32,25,5000,88,8.5,3.46,3.35,,122,4,,2365,51.6,65.4,172.4,96.3,,,,4,,,,125,1
8189,32,25,5000,88,8.5,3.46,3.35,,122,4,,2405,51.6,65.4,172.4,96.3,,,,4,,,,125,1
9279,30,23,5500,116,7.5,3.46,3.17,,110,4,,2403,51.6,65.4,172.4,96.3,,,,4,,,,125,1
9279,30,23,5500,116,7.5,3.46,3.17,,110,4,,2403,51.6,65.4,172.4,96.3,,,,4,,,,137,-1
5499,37,31,5200,69,9.4,3.29,3.15,,97,4,,1889,54.5,63.8,165.3,94.5,,,,2,,,,128,1
7099,50,45,4800,55,21.9,3.47,2.99,,103,4,,2017,54.5,63.8,165.3,94.5,,,,2,,,,128,1
6649,37,31,5200,69,9.4,3.29,3.15,,97,4,,1918,54.5,63.8,165.3,94.5,,,,2,,,,128,1
6849,37,31,5200,69,9.4,3.29,3.15,,97,4,,1938,54.5,63.8,165.3,94.5,,,,4,,,,122,1
7349,37,31,5200,69,9.4,3.29,3.15,,97,4,,2024,53.5,63.8,170.2,94.5,,,,4,,,,103,1
7299,37,31,5200,69,9.4,3.29,3.15,,97,4,,1951,54.5,63.8,165.3,94.5,,,,2,,,,128,1
7799,37,31,5200,69,9.4,3.29,3.15,,97,4,,2028,53.3,63.8,165.6,94.5,,,,2,,,,128,1
7499,37,31,5200,69,9.4,3.29,3.15,,97,4,,1971,54.5,63.8,165.3,94.5,,,,4,,,,122,1
7999,37,31,5200,69,9.4,3.29,3.15,,97,4,,2037,53.5,63.8,170.2,94.5,,,,4,,,,103,1
8249,37,31,5200,69,9.4,3.29,3.15,,97,4,,2008,53.3,63.8,162.4,95.1,,,,2,,,,168,2
8949,34,27,5200,97,8.5,3.47,3.33,,120,4,,2324,54.7,65.2,173.4,97.2,,,,4,,,,106,0
9549,34,27,5200,97,8.5,3.47,3.33,,120,4,,2302,54.7,65.2,173.4,97.2,,,,4,,,,106,0
13499,22,17,5200,152,9.0,3.27,3.43,,181,6,,3095,55.1,66.5,181.7,100.4,,,,4,,,,128,0
14399,22,17,5200,152,9.0,3.27,3.43,,181,6,,3296,56.1,66.5,184.6,100.4,,,,4,,,,108,0
13499,25,19,5200,152,9.0,3.27,3.43,,181,6,,3060,55.1,66.5,184.6,100.4,,,,4,,,,108,0
17199,25,19,5200,160,9.0,3.27,3.43,,181,6,,3071,49.7,67.9,170.7,91.3,,,,2,,,,194,3
19699,23,17,5200,200,7.8,3.27,3.43,,181,6,,3139,49.7,67.9,170.7,91.3,,,,2,,,,194,3
18399,25,19,5200,160,9.0,3.27,3.43,,181,6,,3139,49.7,67.9,178.5,99.2,,,,2,,,,231,1
11900,24,19,5000,97,8.4,3.19,3.46,,120,4,,3020,56.7,68.4,186.7,107.9,,,,4,,,,161,0
13200,33,28,4150,95,21.0,3.52,3.7,,152,4,,3197,56.7,68.4,186.7,107.9,,,,4,,,,161,0
12440,24,19,5000,97,8.4,3.19,3.46,,120,4,,3230,58.7,68.4,198.9,114.2,,,,4,,,,115,0
13860,25,25,4150,95,21.0,3.52,3.7,,152,4,,3430,58.7,68.4,198.9,114.2,,,,4,,,,115,0
15580,24,19,5000,95,8.4,2.19,3.46,,120,4,,3075,56.7,68.4,186.7,107.9,,,,4,,,,161,0
16900,33,28,4150,95,21.0,3.52,3.7,,152,4,,3252,56.7,68.4,186.7,107.9,,,,4,,,,161,0
16695,24,19,5000,95,8.4,2.19,3.46,,120,4,,3285,56.7,68.4,198.9,114.2,,,,4,,,,115,0
17075,25,25,4150,95,21.0,3.52,3.7,,152,4,,3485,58.7,68.4,198.9,114.2,,,,4,,,,115,0
16630,24,19,5000,97,8.4,3.19,3.46,,120,4,,3075,56.7,68.4,186.7,107.9,,,,4,,,,161,0
17950,33,28,4150,95,21.0,3.52,3.7,,152,4,,3252,56.7,68.4,186.7,107.9,,,,4,,,,161,0
18150,24,18,5600,142,7.0,3.21,3.61,,134,4,,3130,56.0,68.3,186.7,108.0,,,,4,,,,161,0
5572,41,37,5500,68,9.4,3.23,2.97,,90,4,,1918,50.8,63.8,157.3,93.7,,,,2,,,,119,1
7957,30,24,5500,102,7.6,3.39,3.03,,98,4,,2128,50.8,63.8,157.3,93.7,,,,2,,,,119,1
6229,38,31,5500,68,9.4,3.23,2.97,,90,4,,1967,50.6,63.8,157.3,93.7,,,,4,,,,154,1
6692,38,31,5500,68,9.4,3.23,2.97,,90,4,,1989,50.8,63.8,167.3,93.7,,,,4,,,,154,1
7609,38,31,5500,68,9.4,3.23,2.97,,98,4,,2191,50.8,63.8,167.3,93.7,,,,4,,,,154,1
8921,30,24,5000,88,8.5,3.46,3.35,,122,4,,2535,59.8,64.6,174.6,103.3,,,,4,,,,74,-1
12764,24,19,5000,145,7.0,3.86,3.59,,156,4,,2818,50.2,66.3,173.2,95.9,,,,2,,,,115,3
22018,27,19,5500,143,9.5,3.11,3.94,,151,4,,2778,50.2,68.3,168.9,94.5,,,,2,,,,186,3
32528,25,17,5900,207,9.5,2.9,3.74,,194,6,,2756,51.6,65.0,168.9,89.5,,,,2,,,,115,3
34028,25,17,5900,207,9.5,2.9,3.74,,194,6,,2756,51.6,65.0,168.9,89.5,,,,2,,,,115,3
37028,25,17,5900,207,9.5,2.9,3.74,,194,6,,2800,51.6,65.0,168.9,89.5,,,,2,,,,115,3
10295,28,17,5750,288,10.0,3.11,3.94,,203,8,,3366,50.5,72.3,175.7,98.4,,,,2,,,,115,1
9295,31,23,5200,95,8.7,3.9,3.46,,132,4,,2579,55.2,66.5,181.5,96.1,,,,4,,,,115,0
9895,31,23,5200,95,8.7,3.9,3.46,,132,4,,2460,50.5,66.6,176.8,96.1,,,,2,,,,115,2
11850,28,21,5250,110,9.31,3.07,3.54,,121,4,,2658,56.1,66.5,186.6,99.1,,,,2,,,,150,3
12170,28,21,5250,110,9.3,3.07,3.54,,121,4,,2695,56.1,66.5,186.6,99.1,,,,4,,,,104,2
15040,28,21,5250,110,9.3,2.07,2.54,,121,4,,2707,56.1,66.5,186.6,99.1,,,,2,,,,150,3
15510,28,21,5250,110,9.3,3.07,3.54,,121,4,,2758,56.1,66.5,186.6,99.1,,,,4,,,,104,2
18150,26,19,5500,160,9.0,3.07,3.54,,121,4,,2808,56.1,66.5,186.6,99.1,,,,2,,,,150,3
18620,26,19,5500,160,9.0,3.07,3.54,,121,4,,2847,56.1,66.5,186.6,99.1,,,,4,,,,104,2
5118,36,31,4900,69,9.0,2.36,3.62,,97,4,,2050,53.7,63.4,156.9,93.7,,,,2,,,,83,2
7053,31,26,4400,73,8.7,2.64,3.62,,108,4,,2120,53.7,63.6,157.9,93.7,,,,2,,,,83,2
7603,31,26,4400,73,8.7,2.64,3.62,,108,4,,2240,55.7,63.8,157.3,93.3,,,,2,,,,83,2
7126,37,32,4800,82,9.5,2.64,3.62,,108,4,,2145,52.5,65.4,172.0,97.2,,,,4,,,,102,0
7775,33,28,4400,82,9.5,2.64,3.62,,108,4,,2190,52.5,65.4,172.0,97.2,,,,4,,,,102,0
9960,32,26,5200,94,9.0,2.64,3.62,,108,4,,2340,52.5,65.4,172.0,97.2,,,,4,,,,102,0
9233,25,24,4800,82,9.0,2.64,3.62,,108,4,,2385,54.3,65.4,172.0,97.0,,,,4,,,,102,0
11259,29,24,4800,111,7.7,2.64,3.62,,108,4,,2510,54.3,65.4,172.0,97.0,,,,4,,,,102,0
7463,32,28,4800,82,9.0,2.64,3.62,,108,4,,2290,53.0,65.4,173.5,97.0,,,,4,,,,89,0
10198,31,25,5200,94,9.0,2.64,3.62,,108,4,,2455,53.0,65.4,173.5,97.0,,,,4,,,,89,0
8013,29,23,4800,82,9.0,2.64,3.62,,108,4,,2420,54.9,65.4,173.6,96.9,,,,4,,,,85,0
11694,23,23,4800,111,7.7,2.64,3.62,,108,4,,2650,54.9,65.4,173.6,96.9,,,,4,,,,85,0
5348,39,35,4800,62,9.0,3.03,3.05,,92,4,,1985,54.5,63.6,158.7,95.7,,,,2,,,,87,1
6338,38,31,4800,62,9.0,3.03,3.05,,92,4,,2040,54.5,63.6,158.7,95.7,,,,2,,,,87,1
6488,38,31,4800,62,9.0,3.03,3.05,,92,4,,2015,54.5,63.6,158.7,95.7,,,,4,,,,74,1
6918,37,31,4800,62,9.0,3.03,3.05,,92,4,,2280,59.1,63.6,169.7,95.7,,,,4,,,,77,0
7898,32,27,4800,62,9.0,3.03,3.05,,92,4,,2290,59.1,63.6,169.7,95.7,,,,4,,,,81,0
8778,32,27,4800,62,9.0,3.03,3.05,,92,4,,3110,59.1,63.6,169.7,95.7,,,,4,,,,91,0
6938,37,30,4800,70,9.0,3.03,3.19,,98,4,,2081,53.0,64.4,166.3,95.7,,,,4,,,,91,0
7198,37,30,4800,70,9.0,3.03,3.19,,98,4,,2109,52.8,64.4,166.3,95.7,,,,4,,,,91,0
7898,36,34,4500,56,22.5,3.35,3.27,,110,4,,2275,53.0,64.4,166.3,95.7,,,,4,,,,91,0
7788,47,38,4500,56,22.5,3.35,3.27,,110,4,,2275,52.8,64.4,166.3,95.7,,,,4,,,,91,0
7738,47,38,4800,70,9.0,3.03,3.19,,98,4,,2094,53.0,64.4,166.3,95.7,,,,4,,,,91,0
8358,34,28,4800,70,9.0,3.03,3.19,,98,4,,2122,52.8,64.4,166.3,95.7,,,,4,,,,91,0
9258,34,28,4800,70,9.0,3.03,3.19,,98,4,,2140,52.8,64.4,166.3,95.7,,,,4,,,,91,0
8058,34,29,4800,70,9.0,3.03,3.19,,98,4,,2169,52.6,64.0,168.7,94.5,,,,2,,,,168,1
8238,34,29,4800,70,9.0,3.03,3.19,,98,4,,2204,52.6,64.0,168.7,94.5,,,,2,,,,168,1
9298,29,26,6600,112,9.4,3.08,3.24,,98,4,,2265,52.6,64.0,168.7,94.5,,,,2,,,,168,1
9538,29,26,6600,112,9.4,3.08,3.24,,98,4,,2300,52.6,64.0,168.7,94.5,,,,2,,,,168,1
8449,30,24,4800,116,9.3,3.5,3.62,,146,4,,2540,52.0,65.6,176.2,98.4,,,,2,,,,134,2
9639,30,24,4800,116,9.3,3.5,3.62,,146,4,,2536,52.0,65.6,176.2,98.4,,,,2,,,,134,2
9989,30,24,4800,116,9.3,3.5,3.62,,146,4,,2551,52.0,65.6,176.2,98.4,,,,2,,,,134,2
11199,30,24,4800,116,9.3,3.5,3.62,,146,4,,2679,52.0,65.6,176.2,98.4,,,,2,,,,134,2
11549,30,24,4800,116,9.3,3.5,3.62,,146,4,,2714,52.0,65.6,176.2,98.4,,,,2,,,,134,2
17669,30,24,4800,116,9.3,3.5,3.62,,146,4,,2975,53.0,65.6,176.2,98.4,,,,2,,,,134,2
8948,34,29,4200,92,8.7,3.54,3.31,,122,4,,2326,54.9,66.5,175.6,102.4,,,,4,,,,65,-1
10698,33,30,4500,73,22.5,3.35,3.27,,110,4,,2480,54.9,66.5,175.6,102.4,,,,4,,,,65,-1
9988,32,27,4200,92,8.7,3.54,3.31,,122,4,,2414,53.9,66.5,175.6,102.4,,,,4,,,,65,-1
10898,32,27,4200,92,8.7,3.54,3.31,,122,4,,2414,54.9,66.5,175.6,102.4,,,,4,,,,65,-1
11248,32,27,4200,92,8.7,3.54,3.31,,122,4,,2458,53.9,66.5,175.6,102.4,,,,4,,,,65,-1
16558,24,20,5200,161,9.3,3.35,3.27,,171,6,,2976,52.0,67.7,183.5,102.9,,,,2,,,,197,3
15998,24,19,5200,161,9.3,3.35,3.27,,171,6,,3016,52.0,67.7,183.5,102.9,,,,2,,,,197,3
15690,24,20,5200,156,9.2,3.35,3.27,,171,6,,3131,54.1,66.5,187.8,104.5,,,,4,,,,90,-1
15750,24,19,5200,156,9.2,3.35,3.27,,161,6,,3151,54.1,66.5,187.8,104.5,,,,4,,,,115,-1
7775,46,37,4800,52,23.0,3.4,3.01,,97,4,,2261,55.7,65.5,171.7,97.3,,,,2,,,,122,2
7975,34,27,5250,85,9.0,3.4,3.19,,109,4,,2209,55.7,65.5,171.7,97.3,,,,2,,,,122,2
7995,46,37,4800,52,23.0,3.4,3.01,,97,4,,2264,55.7,65.5,171.7,97.3,,,,4,,,,94,2
8195,34,27,5250,85,9.0,3.4,3.19,,109,4,,2212,55.7,65.5,171.7,97.3,,,,4,,,,94,2
8495,34,27,5250,85,9.0,3.4,3.19,,109,4,,2275,55.7,65.5,171.7,97.3,,,,4,,,,94,2
9495,42,37,4500,68,23.0,3.4,3.01,,97,4,,2319,55.7,65.5,171.7,97.3,,,,4,,,,94,2
9995,32,26,5500,100,10.0,3.4,3.19,,109,4,,2300,55.7,65.5,171.7,97.3,,,,4,,,,94,2
11595,29,24,5500,90,8.5,3.4,3.19,,109,4,,2254,55.6,64.2,159.3,94.5,,,,2,,,,115,3
9980,29,24,5500,90,8.5,3.4,3.19,,109,4,,2221,51.4,64.0,165.7,94.5,,,,2,,,,256,3
13295,24,19,5500,110,8.5,3.4,3.19,,136,5,,2661,55.1,66.9,180.2,100.4,,,,4,,,,115,0
13845,38,33,4500,68,23.0,3.4,3.01,,97,4,,2579,55.1,66.9,180.2,100.4,,,,4,,,,115,0
12290,31,25,5500,88,9.0,3.4,3.19,,109,4,,2563,55.1,66.9,183.1,100.4,,,,4,,,,115,0
12940,28,23,5400,114,9.5,3.15,3.78,,141,4,,2912,56.2,67.2,188.8,104.3,,,,4,,,,103,-2
13415,28,23,5400,114,9.5,3.15,3.78,,141,4,,3034,57.5,67.2,188.8,104.3,,,,4,,,,74,-1
15985,28,24,5400,114,9.5,3.15,3.78,,141,4,,2935,56.2,67.2,188.8,104.3,,,,4,,,,103,-2
16515,28,24,5400,114,9.5,3.15,3.78,,141,4,,3042,57.5,67.2,188.8,104.3,,,,4,,,,74,-1
18420,22,17,5100,162,7.5,3.15,3.62,,130,4,,3045,56.2,67.2,188.8,104.3,,,,4,,,,103,-2
18950,22,17,5100,162,7.5,3.15,3.62,,130,4,,3157,57.5,67.2,188.8,104.3,,,,4,,,,74,-1
16845,28,23,5400,114,9.5,3.15,3.78,,141,4,,2952,55.5,68.9,188.8,109.1,,,,4,,,,95,-1
19045,25,19,5300,160,8.7,3.15,3.78,,141,4,,3049,55.5,68.8,188.8,109.1,,,,4,,,,95,-1
21485,23,18,5500,134,8.8,2.87,3.58,,173,6,,3012,55.5,68.9,188.8,109.1,,,,4,,,,95,-1
22470,27,26,4800,106,23.0,3.4,3.01,,145,6,,3217,55.5,68.9,188.8,109.1,,,,4,,,,95,-1
22625,25,19,5400,114,9.5,3.15,3.78,,141,4,,3062,55.5,68.9,188.8,109.1,,,,4,,,,95,-1
